title,text,label
"Chính phủ công bố chính sách học phí mới","Bộ Giáo dục và Đào tạo chính thức công bố chính sách hỗ trợ học phí cho sinh viên từ năm học mới, áp dụng từ tháng 9 năm nay",reliable
"Giá xăng giảm từ ngày mai","Bộ Công Thương thông báo giá xăng sẽ được điều chỉnh giảm trong kỳ điều hành tới theo quyết định của liên bộ",reliable
"Cảnh báo mưa lớn diện rộng tại miền Trung","Trung tâm Dự báo Khí tượng Thủy văn Quốc gia cảnh báo mưa lớn kéo dài ở miền Trung trong 3 ngày tới",reliable
"Ngân hàng Nhà nước điều chỉnh lãi suất điều hành","Ngân hàng Nhà nước vừa công bố mức điều chỉnh lãi suất điều hành theo thông báo chính thức nhằm hỗ trợ nền kinh tế",reliable
"Thành phố Hà Nội triển khai tuyến xe buýt điện mới","Sở Giao thông Vận tải Hà Nội thông báo đưa vào hoạt động tuyến xe buýt điện mới từ đầu tháng tới phục vụ người dân",reliable
"Bộ Y tế khuyến cáo phòng chống dịch sốt xuất huyết","Thông báo chính thức từ Bộ Y tế nhấn mạnh việc diệt lăng quăng và vệ sinh môi trường để phòng chống sốt xuất huyết",reliable
"Giá vàng trong nước tăng nhẹ theo thị trường quốc tế","Theo các doanh nghiệp kinh doanh vàng trong nước giá vàng sáng nay tăng nhẹ so với hôm qua theo diễn biến thị trường quốc tế",reliable
"Trường đại học công bố lịch tuyển sinh 2024","Các trường đại học phát hành thông báo tuyển sinh chính thức trên website và cổng thông tin điện tử của bộ giáo dục",reliable
"Việt Nam đạt thặng dư thương mại 8 tỷ USD","Tổng cục Thống kê công bố Việt Nam đạt thặng dư thương mại khoảng 8 tỷ USD trong 6 tháng đầu năm",reliable
"Bộ Nông nghiệp hỗ trợ nông dân vùng lũ","Bộ Nông nghiệp và Phát triển Nông thôn triển khai gói hỗ trợ cho nông dân bị ảnh hưởng bởi lũ lụt tại các tỉnh miền Trung",reliable
"Hà Nội khánh thành cầu vượt mới giảm ùn tắc","Thành phố Hà Nội chính thức khánh thành cầu vượt thép tại nút giao Trường Chinh nhằm giảm thiểu tình trạng ùn tắc giao thông",reliable
"Chính phủ phê duyệt dự án cao tốc Bắc Nam giai đoạn 2","Thủ tướng Chính phủ ký quyết định phê duyệt dự án đường bộ cao tốc Bắc Nam phía Đông giai đoạn 2 với tổng vốn đầu tư lớn",reliable
"Tỷ lệ thất nghiệp quý 3 giảm xuống mức thấp","Theo Tổng cục Thống kê tỷ lệ thất nghiệp trong độ tuổi lao động quý 3 giảm xuống còn khoảng 2 phần trăm",reliable
"Bộ Khoa học công nhận giống lúa mới năng suất cao","Bộ Khoa học và Công nghệ chính thức công nhận 5 giống lúa mới có năng suất cao cho vùng đồng bằng sông Cửu Long",reliable
"TP HCM triển khai thẻ đi xe buýt tháng không giới hạn","Trung tâm Quản lý Giao thông Công cộng TP HCM thông báo phát hành vé tháng xe buýt không giới hạn chuyến với giá ưu đãi",reliable
"WHO khuyến cáo tiêm vắc xin cúm trước mùa đông","Tổ chức Y tế Thế giới khuyến cáo người dân nên tiêm vắc xin cúm trước mùa đông để phòng tránh dịch bệnh",reliable
"Giải vô địch bóng đá quốc gia V-League khai mạc","Liên đoàn Bóng đá Việt Nam thông báo lịch khai mạc mùa giải V-League 2024 với sự tham gia của 14 đội bóng",reliable
"Bộ Tài nguyên ban hành quy định bảo vệ rừng mới","Bộ Tài nguyên và Môi trường ban hành thông tư mới về quản lý và bảo vệ rừng tự nhiên nhằm ngăn chặn phá rừng",reliable
"Ngân hàng Thế giới nâng dự báo tăng trưởng Việt Nam","Ngân hàng Thế giới nâng dự báo tăng trưởng GDP của Việt Nam lên 6,5 phần trăm cho năm 2024",reliable
"Bộ Giáo dục triển khai chương trình sách giáo khoa mới","Bộ Giáo dục và Đào tạo chính thức triển khai bộ sách giáo khoa mới theo Chương trình Giáo dục Phổ thông 2018",reliable
"Vùng áp thấp nhiệt đới mạnh lên thành bão số 3","Trung tâm Dự báo Khí tượng Thủy văn Quốc gia thông báo vùng áp thấp nhiệt đới trên biển Đông mạnh lên thành bão",reliable
"Hải quan phát hiện đường dây buôn lậu hàng điện tử","Cục Hải quan TP HCM đã phát hiện và bắt giữ một đường dây buôn lậu hàng điện tử nhập lậu qua đường bưu điện",reliable
"Đại học Quốc gia Hà Nội tuyển sinh thạc sĩ đợt 2","Đại học Quốc gia Hà Nội thông báo mở đăng ký tuyển sinh đào tạo thạc sĩ đợt 2 năm 2024 theo hình thức trực tuyến",reliable
"Doanh thu du lịch nội địa đạt kỷ lục trong dịp lễ 30/4","Tổng cục Du lịch thông báo doanh thu du lịch nội địa đạt kỷ lục trong dịp lễ 30/4 với hàng triệu lượt khách",reliable
"Bộ Công an ra mắt ứng dụng định danh điện tử VneID","Bộ Công an chính thức ra mắt ứng dụng định danh điện tử VneID cho phép công dân sử dụng thay CMND khi giao dịch",reliable
"Viện Hàn lâm Khoa học Việt Nam công bố nghiên cứu về vật liệu mới","Các nhà khoa học Việt Nam công bố nghiên cứu về vật liệu polymer mới có ứng dụng trong y tế và công nghiệp",reliable
"TP HCM xây dựng thêm 10 bệnh viện dã chiến dự phòng","Ủy ban Nhân dân TP HCM phê duyệt kế hoạch xây dựng thêm các bệnh viện dã chiến để đảm bảo năng lực y tế dự phòng",reliable
"Cục Hàng không mở thêm đường bay quốc tế mới","Cục Hàng không Việt Nam thông báo mở thêm các đường bay quốc tế thẳng đến các thành phố lớn ở châu Âu",reliable
"Giá điện sinh hoạt sẽ được điều chỉnh theo lộ trình","Tập đoàn Điện lực Việt Nam thông báo giá điện sinh hoạt sẽ được điều chỉnh theo lộ trình được Chính phủ phê duyệt",reliable
"Bộ Y tế cấp phép thêm 5 loại vắc xin phòng bệnh mới","Bộ Y tế cấp phép lưu hành thêm 5 loại vắc xin phòng bệnh mới đã được kiểm định chất lượng an toàn",reliable
"Quốc hội thông qua Luật Đất đai sửa đổi","Quốc hội chính thức thông qua Luật Đất đai sửa đổi với đa số phiếu thuận tại kỳ họp thứ 6",reliable
"Sở Y tế cảnh báo dịch tay chân miệng tăng cao","Sở Y tế TP HCM phát cảnh báo dịch tay chân miệng có xu hướng tăng và khuyến cáo phụ huynh cần chú ý vệ sinh cho trẻ",reliable
"Bộ Công Thương xử phạt doanh nghiệp vi phạm nhãn hàng","Cục Quản lý thị trường đã xử phạt hành chính nhiều doanh nghiệp vi phạm quy định về nhãn hiệu hàng hóa",reliable
"Nghiên cứu mới về tác dụng của trà xanh với sức khỏe","Nghiên cứu khoa học được công bố trên tạp chí quốc tế cho thấy trà xanh có thể hỗ trợ giảm nguy cơ tim mạch",reliable
"Dự báo thời tiết các tỉnh miền Bắc trong tuần tới","Trung tâm Dự báo Khí tượng Thủy văn Quốc gia dự báo các tỉnh miền Bắc sẽ có mưa rải rác trong tuần tới",reliable
"Chỉ số VN-Index tăng mạnh phiên cuối tuần","Thị trường chứng khoán ghi nhận phiên giao dịch tích cực khi chỉ số VN-Index tăng điểm cuối tuần nhờ nhóm cổ phiếu ngân hàng",reliable
"Đội tuyển Việt Nam giành vé vào vòng loại cuối","Liên đoàn Bóng đá Việt Nam thông báo đội tuyển quốc gia đã giành quyền tham dự vòng loại cuối World Cup khu vực châu Á",reliable
"Bộ Giao thông siết chặt kiểm tra xe khách dịp Tết","Bộ Giao thông Vận tải tăng cường kiểm tra tải trọng và an toàn phương tiện vận tải hành khách trong dịp Tết Nguyên Đán",reliable
